name	splice	description	strand	trsl start	trsl end	length	number of exons	PR binding region (from trsl start)
Mecp2	NM_001081979	methyl CpG binding protein 2 (Mecp2), transcript variant 1, mRNA.	negative	71271930	71331029	59099	3	57853..58822:   within  intron 1 	21455..22107:   within  intron 1 	18856..19660:   within  intron 1 	-2901..-2141:   2.1 kbp downstream from the last exon
Il1rapl1	NM_001160403	interleukin 1 receptor accessory protein-like 1 (Il1rapl1), mRNA.	negative	83992580	85360962	1368382	11	1037803..1038297:   within  intron 2 
Cdkl5	NM_001024624	cyclin-dependent kinase-like 5 (Cdkl5), mRNA.	negative	157222239	157432613	210374	19	72776..73319:   within  intron 7 
Nhs	NM_001290526	Nance-Horan syndrome (human) (Nhs), transcript variant 1, mRNA.	negative	158274361	158597373	323012	9	257394..257936:   within  intron 1 	217809..218352:   within  intron 1 	211517..211904:   within  intron 1 
Nhs	NM_001081052	Nance-Horan syndrome (human) (Nhs), transcript variant 2, mRNA.	negative	158274361	158597373	323012	8	257394..257936:   within  intron 1 	217809..218352:   within  intron 1 	211517..211904:   within  intron 1 
Sh3kbp1	NM_001135727	SH3-domain kinase binding protein 1 (Sh3kbp1), transcript variant 1, mRNA.	positive	156065203	156413852	348649	18	17955..18421:   within  intron 1 
Car5b	NM_181315	carbonic anhydrase 5b, mitochondrial (Car5b), mRNA.	negative	160414753	160465942	51189	8	50094..50745:   within  intron 1 
Frmpd4	NM_001033330	FERM and PDZ domain containing 4 (Frmpd4), transcript variant 1, mRNA.	negative	163909237	165015165	1105928	20	248683..249498:   within  intron 5 	247592..248548:   within  intron 5 	245345..246035:   within  intron 5 	174499..175137:   within  intron 5 	12360..13033:   within  intron 17 
Frmpd4	NM_001290427	FERM and PDZ domain containing 4 (Frmpd4), transcript variant 2, mRNA.	negative	163909237	165015165	1105928	18	248683..249498:   within  intron 3 	247592..248548:   within  intron 3 	245345..246035:   within  intron 3 	174499..175137:   within  intron 3 	12360..13033:   within  intron 15 
Frmpd4	NM_001290428	FERM and PDZ domain containing 4 (Frmpd4), transcript variant 3, mRNA.	negative	163909237	165015165	1105928	17	248683..249498:   within  intron 2 	247592..248548:   within  intron 2 	245345..246035:   within  intron 2 	174499..175137:   within  intron 2 	12360..13033:   within  intron 14 
Arhgap6	NM_009707	Rho GTPase activating protein 6 (Arhgap6), transcript variant 1, mRNA.	positive	165233030	165742372	509342	13	197338..197932:   within  intron 1 
Shroom4	NM_001040459	shroom family member 4 (Shroom4), transcript variant 1, mRNA.	positive	5977149	6214572	237423	9	181167..181504:   within  intron 3 
Shroom4	NM_001313764	shroom family member 4 (Shroom4), transcript variant 2, mRNA.	positive	5977149	6214572	237423	9	181167..181504:   within  intron 3 
Shroom4	NM_001313765	shroom family member 4 (Shroom4), transcript variant 3, mRNA.	positive	5977149	6214572	237423	8	181167..181504:   within  intron 2 
Clcn5	NM_001243762	chloride channel 5 (Clcn5), transcript variant 2, mRNA.	negative	6735537	6896484	160947	14	70555..71377:   within  intron 2 	59969..60519:   within  intron 2 	54289..54959:   starts in  intron 2, ends in   intron 3	12664..13333:   starts in  intron 6, ends in   intron 7
Clcn5	NM_016691	chloride channel 5 (Clcn5), transcript variant 1, mRNA.	negative	6735537	6896484	160947	12	70555..71377:   40.3 kbp upstream from the first exon	59969..60519:   29.7 kbp upstream from the first exon	54289..54959:   24.0 kbp upstream from the first exon	12664..13333:   starts in  intron 4, ends in   intron 5
Lancl3	NM_173414	LanC lantibiotic synthetase component C-like 3 (bacterial) (Lancl3), mRNA.	positive	8777098	8845211	68113	5	2953..3597:   within  intron 1 	20918..21587:   within  intron 1 	44713..45253:   within  intron 1 	56995..57544:   within  intron 3 
Tspan7	NM_019634	tetraspanin 7 (Tspan7), mRNA.	positive	10062241	10173730	111489	8	34015..34537:   within  intron 1 
Med14	NM_012005	mediator complex subunit 14 (Med14), transcript variant 2, mRNA.	negative	12252496	12339099	86603	30	3057..3655:   718 bp downstream from the last exon
Med14	NM_001048208	mediator complex subunit 14 (Med14), transcript variant 1, mRNA.	negative	12252496	12339099	86603	31	3057..3655:   within  intron 30 
Cask	NM_001284505	calcium/calmodulin-dependent serine protein kinase (MAGUK family) (Cask), transcript variant 3, mRNA.	negative	13094207	13423682	329475	26	143023..143611:   within  intron 5 	140985..141619:   within  intron 5 	4171..4736:   within  exon 26 
Cask	NM_001284504	calcium/calmodulin-dependent serine protein kinase (MAGUK family) (Cask), transcript variant 2, mRNA.	negative	13094207	13423682	329475	24	143023..143611:   within  intron 5 	140985..141619:   within  intron 5 	4171..4736:   within  exon 24 
Cask	NM_001284503	calcium/calmodulin-dependent serine protein kinase (MAGUK family) (Cask), transcript variant 1, mRNA.	negative	13094207	13423682	329475	27	143023..143611:   within  intron 5 	140985..141619:   within  intron 5 	4171..4736:   within  exon 27 
Cask	NM_009806	calcium/calmodulin-dependent serine protein kinase (MAGUK family) (Cask), transcript variant 4, mRNA.	negative	13094207	13423682	329475	25	143023..143611:   within  intron 5 	140985..141619:   within  intron 5 	4171..4736:   within  exon 25 
Maob	NM_172778	monoamine oxidase B (Maob), mRNA.	negative	16286406	16394492	108086	15	115037..115618:   7.0 kbp upstream from the first exon
Sept6	NM_001177324	septin 6 (Sept6), transcript variant 1, mRNA.	negative	34451266	34529690	78424	10	75096..75398:   within  intron 1 
Sept6	NM_001177323	septin 6 (Sept6), transcript variant 3, mRNA.	negative	34451266	34529690	78424	10	75096..75398:   within  intron 1 
Sept6	NM_001253706	septin 6 (Sept6), transcript variant 4, mRNA.	negative	34451266	34529690	78424	11	75096..75398:   within  intron 1 
Sept6	NM_019942	septin 6 (Sept6), transcript variant 2, mRNA.	negative	34451266	34529690	78424	10	75096..75398:   within  intron 1 
Il13ra1	NM_133990	interleukin 13 receptor, alpha 1 (Il13ra1), mRNA.	positive	33652102	33711256	59154	11	-2805..-2394:   2.4 kbp upstream from the first exon
Cul4b	NM_028288	cullin 4B (Cul4b), transcript variant 1, mRNA.	negative	35884797	35929373	44576	23	26247..26774:   within  intron 5 
Cul4b	NM_001110142	cullin 4B (Cul4b), transcript variant 2, mRNA.	negative	35884797	35929373	44576	23	26247..26774:   within  intron 5 
Stag2	NM_021465	stromal antigen 2 (Stag2), transcript variant 1, mRNA.	positive	39502588	39630363	127775	33	-1629..-930:   2.2 kbp upstream from the first exon
Stag2	NM_001077712	stromal antigen 2 (Stag2), transcript variant 2, mRNA.	positive	39502588	39630363	127775	33	-1629..-930:   930 bp upstream from the first exon
Xiap	NM_009688	X-linked inhibitor of apoptosis (Xiap), transcript variant 3, mRNA.	positive	39421012	39462841	41829	8	84..945:   starts in  exon 1, ends in   intron 2	46829..47524:   5.0 kbp downstream from the last exon
Xiap	NM_001301641	X-linked inhibitor of apoptosis (Xiap), transcript variant 2, mRNA.	positive	39421012	39462841	41829	7	84..945:   2.5 kbp upstream from the first exon	46829..47524:   5.0 kbp downstream from the last exon
Xiap	NM_001301639	X-linked inhibitor of apoptosis (Xiap), transcript variant 1, mRNA.	positive	39421012	39462841	41829	7	84..945:   starts before the first exon, ends in  exon 1 	46829..47524:   5.0 kbp downstream from the last exon
Tenm1	NM_011855	teneurin transmembrane protein 1 (Tenm1), mRNA.	negative	39885569	40627961	742392	33	167739..168416:   within  intron 16 	20792..21416:   within  intron 28 	7577..8066:   within  intron 29 
Smarca1	NM_001290708	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 (Smarca1), transcript variant 2, mRNA.	negative	45162546	45245729	83183	24	93171..93688:   10.0 kbp upstream from the first exon
Smarca1	NM_053123	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 (Smarca1), transcript variant 1, mRNA.	negative	45162546	45245729	83183	24	93171..93688:   10.0 kbp upstream from the first exon
Rab33a	NM_011228	RAB33A, member RAS oncogene family (Rab33a), mRNA.	positive	45872461	45883417	10956	2	5093..5394:   within  intron 1 
Gpc3	NM_016697	glypican 3 (Gpc3), mRNA.	negative	49625603	49967151	341548	8	243003..243585:   within  intron 2 	241642..242232:   within  intron 2 	38560..39046:   within  intron 7 
Gpc4	NM_008150	glypican 4 (Gpc4), mRNA.	negative	49406194	49518100	111906	9	100397..100914:   within  intron 1 	99636..100327:   within  intron 1 	55171..55419:   within  intron 1 
Fhl1	NM_010211	four and a half LIM domains 1 (Fhl1), transcript variant 3, mRNA.	positive	53984937	54046523	61586	7	4467..4987:   within  intron 1 
Fhl1	NM_001077361	four and a half LIM domains 1 (Fhl1), transcript variant 1, mRNA.	positive	53984937	54046523	61586	8	4467..4987:   within  intron 1 
Mtm1	NM_019926	X-linked myotubular myopathy gene 1 (Mtm1), transcript variant 3, mRNA.	positive	68463941	68568470	104529	15	44029..44869:   within  intron 5 
Mtm1	NM_001164192	X-linked myotubular myopathy gene 1 (Mtm1), transcript variant 4, mRNA.	positive	68463941	68568470	104529	14	44029..44869:   within  intron 5 
Mtm1	NM_001164191	X-linked myotubular myopathy gene 1 (Mtm1), transcript variant 2, mRNA.	positive	68463941	68568470	104529	15	44029..44869:   within  intron 5 
Mtm1	NM_001164190	X-linked myotubular myopathy gene 1 (Mtm1), transcript variant 1, mRNA.	positive	68463941	68568470	104529	15	44029..44869:   within  intron 5 
Mtm1	NM_001164193	X-linked myotubular myopathy gene 1 (Mtm1), transcript variant 5, mRNA.	positive	68463941	68568470	104529	7	44029..44869:   within  intron 5 
Pdzd4	NM_001029868	PDZ domain containing 4 (Pdzd4), transcript variant 1, mRNA.	negative	71038695	71070308	31613	8	4866..5549:   starts in  intron 2, ends in   exon 4
Pdzd4	NM_001290540	PDZ domain containing 4 (Pdzd4), transcript variant 2, mRNA.	negative	71038695	71070308	31613	6	4866..5549:   starts in  intron 1, ends in   exon 2
Atp2b3	NM_177236	ATPase, Ca++ transporting, plasma membrane 3 (Atp2b3), transcript variant 1, mRNA.	positive	70748424	70818609	70185	21	50060..50783:   within  intron 19 	68519..69077:   within  exon 21 
Atp2b3	NM_001310537	ATPase, Ca++ transporting, plasma membrane 3 (Atp2b3), transcript variant 2, mRNA.	positive	70748424	70818609	70185	21	50060..50783:   within  intron 19 	68519..69077:   13.4 kbp downstream from the last exon
Ikbkg	NM_001136067	inhibitor of kappaB kinase gamma (Ikbkg), transcript variant 3, mRNA.	positive	71638629	71699117	60488	11	30974..31729:   starts before the first exon, ends in  intron 1 	32726..33420:   within  intron 1 	13495..14021:   17.3 kbp upstream from the first exon
Ikbkg	NM_178590	inhibitor of kappaB kinase gamma (Ikbkg), transcript variant 2, mRNA.	positive	71638629	71699117	60488	10	30974..31729:   4.7 kbp upstream from the first exon	32726..33420:   3.0 kbp upstream from the first exon	13495..14021:   22.4 kbp upstream from the first exon
Ikbkg	NM_001161424	inhibitor of kappaB kinase gamma (Ikbkg), transcript variant 7, mRNA.	positive	71638629	71699117	60488	10	30974..31729:   within  intron 1 	32726..33420:   within  intron 1 	13495..14021:   within  intron 1 
Ikbkg	NM_001161423	inhibitor of kappaB kinase gamma (Ikbkg), transcript variant 6, mRNA.	positive	71638629	71699117	60488	10	30974..31729:   within  intron 1 	32726..33420:   within  intron 1 	13495..14021:   within  intron 1 
Ikbkg	NM_001161422	inhibitor of kappaB kinase gamma (Ikbkg), transcript variant 5, mRNA.	positive	71638629	71699117	60488	10	30974..31729:   4.3 kbp upstream from the first exon	32726..33420:   2.6 kbp upstream from the first exon	13495..14021:   22.0 kbp upstream from the first exon
Ikbkg	NM_001161421	inhibitor of kappaB kinase gamma (Ikbkg), transcript variant 4, mRNA.	positive	71638629	71699117	60488	11	30974..31729:   starts before the first exon, ends in  intron 1 	32726..33420:   within  intron 1 	13495..14021:   17.3 kbp upstream from the first exon
Ikbkg	NM_010547	inhibitor of kappaB kinase gamma (Ikbkg), transcript variant 1, mRNA.	positive	71638629	71699117	60488	10	30974..31729:   4.7 kbp upstream from the first exon	32726..33420:   3.0 kbp upstream from the first exon	13495..14021:   22.4 kbp upstream from the first exon
Pcyt1b	NM_177546	phosphate cytidylyltransferase 1, choline, beta isoform (Pcyt1b), transcript variant 2, mRNA.	positive	90900201	90995287	95086	8	36041..36522:   within  intron 1 	41778..42298:   within  intron 1 
Pcyt1b	NM_211138	phosphate cytidylyltransferase 1, choline, beta isoform (Pcyt1b), transcript variant 1, mRNA.	positive	90900201	90995287	95086	8	36041..36522:   within  intron 1 	41778..42298:   within  intron 1 
Heph	NM_181273	hephaestin (Heph), transcript variant 2, mRNA.	positive	93650774	93769823	119049	16	635..1093:   starts before the first exon, ends in  exon 1 
Heph	NM_001159627	hephaestin (Heph), transcript variant 3, mRNA.	positive	93650774	93769823	119049	22	635..1093:   starts before the first exon, ends in  exon 1 
Heph	NM_001159628	hephaestin (Heph), transcript variant 4, mRNA.	positive	93650774	93769823	119049	22	635..1093:   within  intron 1 
Heph	NM_010417	hephaestin (Heph), transcript variant 1, mRNA.	positive	93650774	93769823	119049	22	635..1093:   within  intron 1 
Hsf3	NM_001310755	heat shock transcription factor 3 (Hsf3), transcript variant 3, mRNA.	negative	93501516	93651633	150117	11	149893..150351:   starts before the first exon, ends in  exon 1 
Hsf3	NM_172931	heat shock transcription factor 3 (Hsf3), transcript variant 2, mRNA.	negative	93501516	93651633	150117	11	149893..150351:   starts before the first exon, ends in  intron 1 
Tex11	NM_031384	testis expressed gene 11 (Tex11), transcript variant 1, mRNA.	negative	98033986	98254978	220992	30	274..948:   starts in  intron 29, ends in   exon 30
Kif4	NM_008446	kinesin family member 4 (Kif4), mRNA.	positive	97821403	97922610	101207	30	60624..61185:   within  intron 12 	61535..62080:   within  intron 12 	108395..108830:   7.2 kbp downstream from the last exon
Nhsl2	NM_001163610	NHS-like 2 (Nhsl2), mRNA.	positive	99044723	99287394	242671	8	79448..79984:   within  intron 1 	106176..106843:   within  intron 1 	107811..108584:   within  intron 1 	129377..130104:   within  intron 1 	144332..145293:   within  intron 1 	167102..167795:   within  intron 1 	174044..174682:   within  intron 1 	185966..186710:   within  intron 1 
Phka1	NM_008832	phosphorylase kinase alpha 1 (Phka1), transcript variant 1, mRNA.	negative	99709313	99839585	130272	33	55552..56079:   within  intron 16 
Phka1	NM_173021	phosphorylase kinase alpha 1 (Phka1), transcript variant 2, mRNA.	negative	99709313	99839585	130272	32	55552..56079:   within  intron 16 
Abcb7	NM_009592	ATP-binding cassette, sub-family B (MDR/TAP), member 7 (Abcb7), mRNA.	negative	101475903	101609185	133282	16	121677..122128:   within  intron 1 
Atp7a	NM_001109757	ATPase, Cu++ transporting, alpha polypeptide (Atp7a), transcript variant 1, mRNA.	positive	103222562	103323499	100937	23	16603..17269:   within  intron 1 	19287..20027:   within  intron 1 	66571..67272:   within  intron 6 	68581..69102:   within  intron 7 
Atp7a	NM_009726	ATPase, Cu++ transporting, alpha polypeptide (Atp7a), transcript variant 2, mRNA.	positive	103222562	103323499	100937	23	16603..17269:   within  intron 1 	19287..20027:   within  intron 1 	66571..67272:   within  intron 6 	68581..69102:   within  intron 7 
Atrx	NM_009530	alpha thalassemia/mental retardation syndrome X-linked homolog (human) (Atrx), mRNA.	negative	102992955	103124711	131756	35	138912..139349:   7.2 kbp upstream from the first exon
Fam46d	NM_001271008	family with sequence similarity 46, member D (Fam46d), transcript variant 2, mRNA.	positive	104987928	105068250	80322	6	-1015..-591:   591 bp upstream from the first exon
2610002M06Rik	NM_025921	RIKEN cDNA 2610002M06 gene (2610002M06Rik), mRNA.	negative	104978090	105011673	33583	8	8823..9247:   within  intron 5 	-3314..-2536:   2.5 kbp downstream from the last exon
Chm	NM_018818	choroidermia (RAB escort protein 1) (Chm), mRNA.	negative	110154200	110299124	144924	15	40618..41302:   within  intron 8 
Trmt2b	NM_001167994	TRM2 tRNA methyltransferase 2B (Trmt2b), transcript variant 1, mRNA.	negative	130757493	130811523	54030	14	20698..21106:   within  intron 7 
Trmt2b	NM_172540	TRM2 tRNA methyltransferase 2B (Trmt2b), transcript variant 2, mRNA.	negative	130757493	130811523	54030	13	20698..21106:   within  intron 6 
Rnf128	NM_001254761	ring finger protein 128 (Rnf128), transcript variant 2, mRNA.	positive	136097878	136207684	109806	7	11359..12254:   within  intron 1 
D330045A20Rik	NM_175326	RIKEN cDNA D330045A20 gene (D330045A20Rik), mRNA.	positive	136014905	136089119	74214	14	54300..54955:   within  intron 11 	55441..56089:   within  intron 11 
Tsc22d3	NM_001077364	TSC22 domain family, member 3 (Tsc22d3), transcript variant 1, mRNA.	negative	137074067	137135061	60994	4	41701..42246:   within  intron 2 	-1951..-1392:   1.4 kbp downstream from the last exon
Tsc22d3	NM_010286	TSC22 domain family, member 3 (Tsc22d3), transcript variant 2, mRNA.	negative	137074067	137135061	60994	3	41701..42246:   38.0 kbp upstream from the first exon	-1951..-1392:   1.4 kbp downstream from the last exon
Mid2	NM_011845	midline 2 (Mid2), mRNA.	positive	137212566	137302254	89688	9	7517..8256:   within  intron 1 	12166..12736:   within  intron 1 
Col4a6	NM_053185	collagen, type IV, alpha 6 (Col4a6), mRNA.	negative	137599945	137908619	308674	45	220338..221166:   within  intron 2 	126985..127830:   within  intron 3 	46113..46659:   within  intron 13 	11742..12355:   within  intron 37 
Tmem164	NM_001199357	transmembrane protein 164 (Tmem164), transcript variant 3, mRNA.	positive	139115942	139278037	162095	7	40416..41205:   within  intron 1 	148140..148584:   within  intron 4 
Tmem164	NM_001199360	transmembrane protein 164 (Tmem164), transcript variant 1, mRNA.	positive	139115942	139278037	162095	7	40416..41205:   within  intron 2 	148140..148584:   within  intron 5 
Tmem164	NM_177592	transmembrane protein 164 (Tmem164), transcript variant 2, mRNA.	positive	139115942	139278037	162095	7	40416..41205:   within  intron 2 	148140..148584:   within  intron 5 
Nxt2	NM_001290533	nuclear transport factor 2-like export factor 2 (Nxt2), transcript variant 4, mRNA.	positive	138661312	138674243	12931	4	1113..1735:   198 bp upstream from the first exon
Nxt2	NM_001290532	nuclear transport factor 2-like export factor 2 (Nxt2), transcript variant 3, mRNA.	positive	138661312	138674243	12931	5	1113..1735:   starts in  intron 1, ends in   intron 2
Nxt2	NM_001161430	nuclear transport factor 2-like export factor 2 (Nxt2), transcript variant 2, mRNA.	positive	138661312	138674243	12931	5	1113..1735:   starts before the first exon, ends in  intron 2 
Nxt2	NM_172782	nuclear transport factor 2-like export factor 2 (Nxt2), transcript variant 1, mRNA.	positive	138661312	138674243	12931	4	1113..1735:   starts before the first exon, ends in  intron 1 
Gucy2f	NM_001007576	guanylate cyclase 2f (Gucy2f), mRNA.	negative	138513831	138631479	117648	20	837..1318:   within  exon 20 
Chrdl1	NM_001114385	chordin-like 1 (Chrdl1), transcript variant 1, mRNA.	negative	139720216	139828805	108589	12	59221..59709:   within  intron 4 
Chrdl1	NM_031258	chordin-like 1 (Chrdl1), transcript variant 2, mRNA.	negative	139720216	139828805	108589	9	59221..59709:   within  intron 4 
Huwe1	NM_021523	HECT, UBA and WWE domain containing 1 (Huwe1), mRNA.	positive	148237824	148369961	132137	83	-558..185:   starts before the first exon, ends in  exon 1 	1902..2445:   within  intron 1 
Shroom2	NM_172441	shroom family member 2 (Shroom2), transcript variant 1, mRNA.	negative	149044051	149204029	159978	10	115243..115831:   within  intron 1 
Shroom2	NM_001290684	shroom family member 2 (Shroom2), transcript variant 2, mRNA.	negative	149044051	149204029	159978	10	115243..115831:   within  intron 1 
Sat1	NM_009121	spermidine/spermine N1-acetyl transferase 1 (Sat1), transcript variant 1, mRNA.	negative	151647668	151650992	3324	6	956..1708:   starts in  intron 3, ends in   exon 4
Sat1	NM_001291865	spermidine/spermine N1-acetyl transferase 1 (Sat1), transcript variant 2, mRNA.	negative	151647668	151650992	3324	7	956..1708:   starts in  intron 4, ends in   exon 5
Mbtps2	NM_172307	membrane-bound transcription factor peptidase, site 2 (Mbtps2), mRNA.	negative	153985753	154036647	50894	11	53369..53920:   2.5 kbp upstream from the first exon
Adgrg2	NM_001290445	adhesion G protein-coupled receptor G2 (Adgrg2), transcript variant 5, mRNA.	positive	156828621	156936008	107387	27	24511..25159:   within  intron 1 	44494..45105:   within  intron 2 	68530..69001:   within  intron 4 
Adgrg2	NM_001079848	adhesion G protein-coupled receptor G2 (Adgrg2), transcript variant 4, mRNA.	positive	156828621	156936008	107387	26	24511..25159:   within  intron 1 	44494..45105:   within  intron 2 	68530..69001:   within  intron 3 
Adgrg2	NM_178712	adhesion G protein-coupled receptor G2 (Adgrg2), transcript variant 1, mRNA.	positive	156828621	156936008	107387	28	24511..25159:   within  intron 1 	44494..45105:   within  intron 2 	68530..69001:   within  intron 5 
Adgrg2	NM_001079847	adhesion G protein-coupled receptor G2 (Adgrg2), transcript variant 3, mRNA.	positive	156828621	156936008	107387	27	24511..25159:   within  intron 1 	44494..45105:   within  intron 2 	68530..69001:   within  intron 5 
Adgrg2	NM_001290446	adhesion G protein-coupled receptor G2 (Adgrg2), transcript variant 6, mRNA.	positive	156828621	156936008	107387	28	24511..25159:   within  intron 1 	44494..45105:   within  intron 2 	68530..69001:   within  intron 5 
Adgrg2	NM_001079857	adhesion G protein-coupled receptor G2 (Adgrg2), transcript variant 2, mRNA.	positive	156828621	156936008	107387	27	24511..25159:   within  intron 1 	44494..45105:   within  intron 2 	68530..69001:   within  intron 5 
Rai2	NM_001103367	retinoic acid induced 2 (Rai2), transcript variant 2, mRNA.	positive	158154967	158217426	62459	2	29685..30698:   within  intron 1 
Rai2	NM_198409	retinoic acid induced 2 (Rai2), transcript variant 1, mRNA.	positive	158154967	158217426	62459	2	29685..30698:   within  intron 1 
Reps2	NM_001290633	RALBP1 associated Eps domain containing protein 2 (Reps2), transcript variant 2, mRNA.	negative	158849883	159081590	231707	18	-6750..-6161:   6.2 kbp downstream from the last exon
Reps2	NM_178256	RALBP1 associated Eps domain containing protein 2 (Reps2), transcript variant 1, mRNA.	negative	158849883	159081590	231707	18	-6750..-6161:   6.2 kbp downstream from the last exon
Asb9	NM_027027	ankyrin repeat and SOCS box-containing 9 (Asb9), mRNA.	positive	160935834	160977684	41850	8	45367..45810:   3.5 kbp downstream from the last exon
Mid1	NM_001290506	midline 1 (Mid1), transcript variant 5, mRNA.	positive	166123130	166428729	305599	10	247843..248713:   within  intron 2 	251942..252497:   within  intron 2 
Mid1	NM_001290505	midline 1 (Mid1), transcript variant 4, mRNA.	positive	166123130	166428729	305599	10	247843..248713:   within  intron 2 	251942..252497:   within  intron 2 
Mid1	NM_001290512	midline 1 (Mid1), transcript variant 6, mRNA.	positive	166123130	166428729	305599	10	247843..248713:   within  intron 2 	251942..252497:   within  intron 2 
Mid1	NM_001290504	midline 1 (Mid1), transcript variant 3, mRNA.	positive	166123130	166428729	305599	10	247843..248713:   within  intron 2 	251942..252497:   within  intron 2 
Mid1	NM_010797	midline 1 (Mid1), transcript variant 1, mRNA.	positive	166123130	166428729	305599	10	247843..248713:   within  intron 2 	251942..252497:   within  intron 2 
Prickle3	NM_001290624	prickle homolog 3 (Drosophila) (Prickle3), mRNA.	positive	7234504	7245312	10808	9	15123..15848:   4.3 kbp downstream from the last exon
Plp2	NM_019755	proteolipid protein 2 (Plp2), mRNA.	negative	7245066	7248516	3450	5	4561..5286:   1.1 kbp upstream from the first exon
Magix	NM_018832	MAGI family member, X-linked (Magix), transcript variant 1, mRNA.	negative	7250291	7258215	7924	6	-664..61:   starts in  exon 6, ends after the last exon 
Ftsj1	NM_001290430	FtsJ homolog 1 (E. coli) (Ftsj1), transcript variant 2, mRNA.	negative	7815793	7829532	13739	13	4066..4534:   within  intron 12 
Ftsj1	NM_133991	FtsJ homolog 1 (E. coli) (Ftsj1), transcript variant 1, mRNA.	negative	7815793	7829532	13739	13	4066..4534:   within  intron 12 
4930557A04Rik	NM_029229	RIKEN cDNA 4930557A04 gene (4930557A04Rik), mRNA.	positive	9426828	9427378	550	1	1180..1692:   630 bp downstream from the last exon
Hypm	NM_026096	huntingtin interacting protein M (Hypm), mRNA.	positive	9424072	9424626	554	1	3936..4448:   3.4 kbp downstream from the last exon
Mid1ip1	NM_001166635	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish)) (Mid1ip1), transcript variant 1, mRNA.	positive	10294490	10296828	2338	2	-341..418:   starts before the first exon, ends in  intron 1 	1714..2245:   within  exon 2 
Mid1ip1	NM_026524	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish)) (Mid1ip1), transcript variant 2, mRNA.	positive	10294490	10296828	2338	2	-341..418:   starts before the first exon, ends in  intron 1 	1714..2245:   within  exon 2 
1810030O07Rik	NM_175141	RIKEN cDNA 1810030O07 gene (1810030O07Rik), mRNA.	negative	12232007	12250765	18758	7	23546..24144:   4.8 kbp upstream from the first exon
Fundc1	NM_001313745	FUN14 domain containing 1 (Fundc1), transcript variant 2, mRNA.	negative	17132725	17149451	16726	4	-8321..-7853:   7.9 kbp downstream from the last exon
Fundc1	NM_001313746	FUN14 domain containing 1 (Fundc1), transcript variant 3, mRNA.	negative	17132725	17149451	16726	5	-8321..-7853:   7.9 kbp downstream from the last exon
Fundc1	NM_028058	FUN14 domain containing 1 (Fundc1), transcript variant 1, mRNA.	negative	17132725	17149451	16726	5	-8321..-7853:   7.9 kbp downstream from the last exon
Usp11	NM_145628	ubiquitin specific peptidase 11 (Usp11), mRNA.	positive	20281034	20297665	16631	21	305..1016:   within  intron 1 
Cdk16	NM_011049	cyclin-dependent kinase 16 (Cdk16), transcript variant 1, mRNA.	positive	20265079	20277005	11926	16	16260..16971:   4.3 kbp downstream from the last exon
